Date,Close
5/1/2018,112.45
5/2/2018,111.15
5/3/2018,109.81
5/4/2018,111.31
5/7/2018,112.12
5/8/2018,111.27
5/9/2018,111.4
5/10/2018,113.99
5/11/2018,115.45
5/14/2018,116.34
5/15/2018,115.61
5/16/2018,116.32
5/17/2018,116.59
5/18/2018,115.38
5/21/2018,117.08
5/22/2018,115.36
5/23/2018,115.28
5/24/2018,115.63
5/25/2018,115.49
5/29/2018,113.83
5/30/2018,116.69
5/31/2018,116.12
6/1/2018,117.25
6/4/2018,116.97
6/5/2018,116.81
6/6/2018,117.02
6/7/2018,116.19
6/8/2018,116.6
6/11/2018,116.85
6/12/2018,118.34
6/13/2018,117.33
6/14/2018,117.19
6/15/2018,116.77
6/18/2018,116.77
6/19/2018,114.82
6/20/2018,113.65
6/21/2018,113.42
6/22/2018,113.7
6/25/2018,110.2
6/26/2018,109.57
6/27/2018,108.38
6/28/2018,105.88
6/29/2018,106.23
7/2/2018,105.88
7/3/2018,105.76
7/5/2018,106.29
7/6/2018,106.03
7/9/2018,108.59
7/10/2018,108.51
7/11/2018,107.33
7/12/2018,108.53
7/13/2018,108.97
7/16/2018,110.65
7/17/2018,111.07
7/18/2018,112.16
7/19/2018,112.84
7/20/2018,112.07
7/23/2018,112.71
7/24/2018,112.44
7/25/2018,120.2
7/26/2018,118.87
7/27/2018,118.66
7/30/2018,118.71
7/31/2018,119.89
8/1/2018,119.36
8/2/2018,118.6
8/3/2018,119.15
8/6/2018,119.54
8/7/2018,120.01
8/8/2018,120.58
8/9/2018,120.87
8/10/2018,119.27
8/13/2018,118.16
8/14/2018,118.98
8/15/2018,120.05
8/16/2018,121.11
8/17/2018,121.8
8/20/2018,122.55
8/21/2018,123.01
8/22/2018,121.87
8/23/2018,121.71
8/24/2018,122.74
8/27/2018,123.85
8/28/2018,122.75
8/29/2018,123.47
8/30/2018,122.85
8/31/2018,122.88
9/4/2018,124.34
9/5/2018,124.66
9/6/2018,123.7
9/7/2018,122.99
9/10/2018,124.34
9/11/2018,123.07
9/12/2018,123.3
9/13/2018,119.7
9/14/2018,120.39
9/17/2018,119.09
9/18/2018,118.24
9/19/2018,118.25
9/20/2018,119.12
9/21/2018,118.49
9/24/2018,117.33
9/25/2018,116.26
9/26/2018,116.7
9/27/2018,116.73
9/28/2018,116.75
10/1/2018,117.46
10/2/2018,116.99
10/3/2018,117.78
10/4/2018,117.31
10/5/2018,117.24
10/8/2018,118.78
10/9/2018,117.92
10/10/2018,116.65
10/11/2018,113.76
10/12/2018,115.64
10/15/2018,115.77
10/16/2018,117.48
10/17/2018,118.01
10/18/2018,114.73
10/19/2018,116.49
10/22/2018,115.64
10/23/2018,114.24
10/24/2018,107.93
10/25/2018,107.82
10/26/2018,105.31
10/29/2018,105.13
10/30/2018,107.07
10/31/2018,106.54
11/1/2018,107.52
11/2/2018,105.99
11/5/2018,106.82
11/6/2018,108.65
11/7/2018,111.13
11/8/2018,111.5
11/9/2018,109.51
11/12/2018,107.72
11/13/2018,109.4
11/14/2018,109.5
11/15/2018,110.45
11/16/2018,110.09
11/19/2018,111.29
11/20/2018,108.51
11/21/2018,108.77
11/23/2018,108.69
11/26/2018,110.64
11/27/2018,111.51
11/28/2018,113.55
11/29/2018,113.26
11/30/2018,115.29
12/3/2018,115.27
12/4/2018,106.77
12/6/2018,108.04
12/7/2018,105.32
12/10/2018,104.4
12/11/2018,103.58
12/12/2018,101.21
12/13/2018,100.78
12/14/2018,98.66
12/17/2018,96.87
12/18/2018,97.28
12/19/2018,94.32
12/20/2018,93.94
12/21/2018,93.5
12/24/2018,89.89
12/26/2018,96.61
12/27/2018,97.78
12/28/2018,96.53
12/31/2018,97.53
1/2/2019,97.21
1/3/2019,94.45
1/4/2019,97.74
1/7/2019,97.41
1/8/2019,97.42
1/9/2019,97.92
1/10/2019,98.91
1/11/2019,97.91
1/14/2019,99.14
1/15/2019,97.56
1/16/2019,96.99
1/17/2019,99.58
1/18/2019,101.6
1/22/2019,102.68
1/23/2019,100.92
1/24/2019,99.7
1/25/2019,100.83
1/28/2019,100.33
1/29/2019,101.3
1/30/2019,101.19
1/31/2019,105.4
2/1/2019,106.09
2/4/2019,106.58
2/5/2019,107.66
2/6/2019,108.82
2/7/2019,107.94
2/8/2019,108.1
2/11/2019,108.93
2/12/2019,110.66
2/13/2019,112.01
2/14/2019,111.8
2/15/2019,110.87
2/19/2019,110.77
2/20/2019,111.07
2/21/2019,111.76
2/22/2019,110.36
2/25/2019,110.86
2/26/2019,111.04
2/27/2019,111.13
2/28/2019,110.2
3/1/2019,112.13
3/4/2019,110.48
3/5/2019,109.97
3/6/2019,108.85
3/7/2019,106.86
3/8/2019,106.68
3/11/2019,108.83
3/12/2019,109.01
3/13/2019,110.86
3/14/2019,110.88
3/15/2019,109.52
3/18/2019,110.69
3/19/2019,110.35
3/20/2019,107.92
3/21/2019,109.8
3/22/2019,107.35
3/25/2019,106.9
3/26/2019,108.41
3/27/2019,108.98
3/28/2019,110.3
3/29/2019,111.74
4/1/2019,114.43
4/2/2019,113.68
4/3/2019,114.35
4/4/2019,113.97
4/5/2019,114.33
4/8/2019,113.97
4/9/2019,112.91
4/10/2019,113.08
4/11/2019,113.49
4/12/2019,114.46
4/15/2019,113.64
4/16/2019,113.94
4/17/2019,114.49
4/18/2019,114.15
4/22/2019,113.62
4/23/2019,113.6
4/24/2019,114.43
4/25/2019,105.13
4/26/2019,103.95
4/29/2019,104.84
4/30/2019,106.22
