Date,Close
5/1/2018,62.1
5/2/2018,62.44
5/3/2018,62.57
5/4/2018,63
5/7/2018,63.88
5/8/2018,64.9
5/9/2018,65.17
5/10/2018,65.64
5/11/2018,65.79
5/14/2018,65.53
5/15/2018,65.39
5/16/2018,65.65
5/17/2018,66.24
5/18/2018,66.24
5/21/2018,67
5/22/2018,66.48
5/23/2018,66.67
5/24/2018,66.9
5/25/2018,66.56
5/29/2018,65.83
5/30/2018,66.91
5/31/2018,66.58
6/1/2018,67.2
6/4/2018,67.31
6/5/2018,68.33
6/6/2018,68.86
6/7/2018,68.65
6/8/2018,69.32
6/11/2018,68.9
6/12/2018,68.1
6/13/2018,67.81
6/14/2018,67.49
6/15/2018,67.41
6/18/2018,67.45
6/19/2018,66.3
6/20/2018,66.75
6/21/2018,66.68
6/22/2018,67.06
6/25/2018,65.73
6/26/2018,65.99
6/27/2018,65.44
6/28/2018,65.71
6/29/2018,65.91
7/2/2018,66.14
7/3/2018,65.94
7/5/2018,66.05
7/6/2018,65.69
7/9/2018,66.85
7/10/2018,66.87
7/11/2018,65.97
7/12/2018,66.71
7/13/2018,67.3
7/16/2018,66.68
7/17/2018,66.79
7/18/2018,66.44
7/19/2018,66.99
7/20/2018,66.86
7/23/2018,66.52
7/24/2018,67
7/25/2018,66.98
7/26/2018,67.93
7/27/2018,67.03
7/30/2018,66.64
7/31/2018,68.27
8/1/2018,67.5
8/2/2018,67.56
8/3/2018,67
8/6/2018,66.95
8/7/2018,67.17
8/8/2018,67
8/9/2018,66.21
8/10/2018,65.75
8/13/2018,65.39
8/14/2018,66.03
8/15/2018,65.45
8/16/2018,66.2
8/17/2018,66.65
8/20/2018,67.65
8/21/2018,68.91
8/22/2018,68.43
8/23/2018,68.3
8/24/2018,68.63
8/27/2018,69.24
8/28/2018,69.42
8/29/2018,69.61
8/30/2018,69.37
8/31/2018,69.03
9/4/2018,69.47
9/5/2018,69.83
9/6/2018,69.61
9/7/2018,69.15
9/10/2018,69.86
9/11/2018,69.99
9/12/2018,69.74
9/13/2018,69.86
9/14/2018,70.57
9/17/2018,70.91
9/18/2018,71.56
9/19/2018,71.72
9/20/2018,70.79
9/21/2018,71.82
9/24/2018,71.36
9/25/2018,72.3
9/26/2018,71.52
9/27/2018,71.5
9/28/2018,71.47
10/1/2018,71.77
10/2/2018,71.82
10/3/2018,71.71
10/4/2018,71.6
10/5/2018,71.05
10/8/2018,71.7
10/9/2018,70.33
10/10/2018,67.38
10/11/2018,65.07
10/12/2018,65.07
10/15/2018,65.81
10/16/2018,66.76
10/17/2018,64.78
10/18/2018,57.49
10/19/2018,56.75
10/22/2018,56.26
10/23/2018,55.23
10/24/2018,52.9
10/25/2018,53.63
10/26/2018,53.41
10/29/2018,52.31
10/30/2018,53.45
10/31/2018,53.63
11/1/2018,55.01
11/2/2018,54.08
11/5/2018,54.83
11/6/2018,55.81
11/7/2018,57.2
11/8/2018,56.73
11/9/2018,56.88
11/12/2018,55.14
11/13/2018,55.9
11/14/2018,56.01
11/15/2018,57.06
11/16/2018,56.6
11/19/2018,55.81
11/20/2018,54.67
11/21/2018,54.82
11/23/2018,55.1
11/26/2018,55.53
11/27/2018,54.98
11/28/2018,56.15
11/29/2018,55.96
11/30/2018,56.14
12/3/2018,56.73
12/4/2018,54.45
12/6/2018,53.01
12/7/2018,51.22
12/10/2018,51.2
12/11/2018,50.3
12/12/2018,51.01
12/13/2018,49.97
12/14/2018,49.47
12/17/2018,48.8
12/18/2018,48.94
12/19/2018,47.2
12/20/2018,45.74
12/21/2018,45.51
12/24/2018,44.16
12/26/2018,45.27
12/27/2018,45.9
12/28/2018,45.65
12/31/2018,45.99
1/2/2019,46.09
1/3/2019,44.92
1/4/2019,46.88
1/7/2019,46.43
1/8/2019,47.55
1/9/2019,47.28
1/10/2019,47.92
1/11/2019,48.01
1/14/2019,48.02
1/15/2019,48.15
1/16/2019,48.03
1/17/2019,48.62
1/18/2019,49.4
1/22/2019,48.45
1/23/2019,49.17
1/24/2019,51.92
1/25/2019,52.6
1/28/2019,52.8
1/29/2019,52.75
1/30/2019,53.48
1/31/2019,53.23
2/1/2019,53.51
2/4/2019,53.66
2/5/2019,54.38
2/6/2019,54.11
2/7/2019,53.07
2/8/2019,52.58
2/11/2019,52.75
2/12/2019,53.79
2/13/2019,54.55
2/14/2019,54
2/15/2019,54.82
2/19/2019,54.6
2/20/2019,54.99
2/21/2019,54.69
2/22/2019,55.06
2/25/2019,55.03
2/26/2019,54.48
2/27/2019,54.72
2/28/2019,54.3
3/1/2019,54.43
3/4/2019,54.12
3/5/2019,53.64
3/6/2019,52.85
3/7/2019,51.91
3/8/2019,51.1
3/11/2019,52.08
3/12/2019,51.93
3/13/2019,52.36
3/14/2019,51.78
3/15/2019,51.78
3/18/2019,52.53
3/19/2019,52.03
3/20/2019,51.41
3/21/2019,51.86
3/22/2019,49.97
3/25/2019,49.9
3/26/2019,50
3/27/2019,49.78
3/28/2019,50.1
3/29/2019,50.66
4/1/2019,51.58
4/2/2019,50.86
4/3/2019,50.47
4/4/2019,51.13
4/5/2019,51.46
4/8/2019,51.5
4/9/2019,50.44
4/10/2019,50.46
4/11/2019,50.77
4/12/2019,51.64
4/15/2019,51.41
4/16/2019,52.14
4/17/2019,54.23
4/18/2019,55.15
4/22/2019,53.92
4/23/2019,54.28
4/24/2019,54.23
4/25/2019,53.34
4/26/2019,53.6
4/29/2019,53.49
4/30/2019,53
